clean,corrupted,label
Calculate the result of the following arithmetic expression and provide only the final answer: 113 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 92 * 2 =,226
Calculate the result of the following arithmetic expression and provide only the final answer: 11 * 27 =,Calculate the result of the following arithmetic expression and provide only the final answer: 16 * 27 =,297
Calculate the result of the following arithmetic expression and provide only the final answer: 468 / 78 =,Calculate the result of the following arithmetic expression and provide only the final answer: 156 / 78 =,6
Calculate the result of the following arithmetic expression and provide only the final answer: 544 / 8 =,Calculate the result of the following arithmetic expression and provide only the final answer: 56 / 8 =,68
Calculate the result of the following arithmetic expression and provide only the final answer: 80 / 8 =,Calculate the result of the following arithmetic expression and provide only the final answer: 168 / 8 =,10
Calculate the result of the following arithmetic expression and provide only the final answer: 560 / 56 =,Calculate the result of the following arithmetic expression and provide only the final answer: 168 / 56 =,10
Calculate the result of the following arithmetic expression and provide only the final answer: 345 / 15 =,Calculate the result of the following arithmetic expression and provide only the final answer: 135 / 15 =,23
Calculate the result of the following arithmetic expression and provide only the final answer: 1100 / 55 =,Calculate the result of the following arithmetic expression and provide only the final answer: 110 / 55 =,20
Calculate the result of the following arithmetic expression and provide only the final answer: 46 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 51 * 2 =,92
Calculate the result of the following arithmetic expression and provide only the final answer: 104 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 68 * 4 =,416
Calculate the result of the following arithmetic expression and provide only the final answer: 304 / 152 =,Calculate the result of the following arithmetic expression and provide only the final answer: 152 / 152 =,2
Calculate the result of the following arithmetic expression and provide only the final answer: 105 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 53 * 3 =,315
Calculate the result of the following arithmetic expression and provide only the final answer: 1500 / 100 =,Calculate the result of the following arithmetic expression and provide only the final answer: 100 / 100 =,15
Calculate the result of the following arithmetic expression and provide only the final answer: 181 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 32 * 2 =,362
Calculate the result of the following arithmetic expression and provide only the final answer: 120 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 25 * 3 =,360
Calculate the result of the following arithmetic expression and provide only the final answer: 440 / 110 =,Calculate the result of the following arithmetic expression and provide only the final answer: 110 / 110 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 6 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 78 * 2 =,12
Calculate the result of the following arithmetic expression and provide only the final answer: 221 / 13 =,Calculate the result of the following arithmetic expression and provide only the final answer: 130 / 13 =,17
Calculate the result of the following arithmetic expression and provide only the final answer: 252 / 9 =,Calculate the result of the following arithmetic expression and provide only the final answer: 189 / 9 =,28
Calculate the result of the following arithmetic expression and provide only the final answer: 456 / 152 =,Calculate the result of the following arithmetic expression and provide only the final answer: 152 / 152 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 209 / 19 =,Calculate the result of the following arithmetic expression and provide only the final answer: 114 / 19 =,11
Calculate the result of the following arithmetic expression and provide only the final answer: 163 * 6 =,Calculate the result of the following arithmetic expression and provide only the final answer: 65 * 6 =,978
Calculate the result of the following arithmetic expression and provide only the final answer: 540 / 9 =,Calculate the result of the following arithmetic expression and provide only the final answer: 153 / 9 =,60
Calculate the result of the following arithmetic expression and provide only the final answer: 54 * 9 =,Calculate the result of the following arithmetic expression and provide only the final answer: 67 * 9 =,486
Calculate the result of the following arithmetic expression and provide only the final answer: 10 * 6 =,Calculate the result of the following arithmetic expression and provide only the final answer: 54 * 6 =,60
Calculate the result of the following arithmetic expression and provide only the final answer: 48 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 39 * 3 =,144
Calculate the result of the following arithmetic expression and provide only the final answer: 224 / 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 78 / 2 =,112
Calculate the result of the following arithmetic expression and provide only the final answer: 360 / 9 =,Calculate the result of the following arithmetic expression and provide only the final answer: 108 / 9 =,40
Calculate the result of the following arithmetic expression and provide only the final answer: 1800 / 60 =,Calculate the result of the following arithmetic expression and provide only the final answer: 180 / 60 =,30
Calculate the result of the following arithmetic expression and provide only the final answer: 426 / 71 =,Calculate the result of the following arithmetic expression and provide only the final answer: 71 / 71 =,6
Calculate the result of the following arithmetic expression and provide only the final answer: 850 / 85 =,Calculate the result of the following arithmetic expression and provide only the final answer: 170 / 85 =,10
Calculate the result of the following arithmetic expression and provide only the final answer: 548 / 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 64 / 4 =,137
Calculate the result of the following arithmetic expression and provide only the final answer: 392 / 14 =,Calculate the result of the following arithmetic expression and provide only the final answer: 154 / 14 =,28
Calculate the result of the following arithmetic expression and provide only the final answer: 3 * 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 56 * 5 =,15
Calculate the result of the following arithmetic expression and provide only the final answer: 396 / 33 =,Calculate the result of the following arithmetic expression and provide only the final answer: 198 / 33 =,12
Calculate the result of the following arithmetic expression and provide only the final answer: 137 * 7 =,Calculate the result of the following arithmetic expression and provide only the final answer: 5 * 7 =,959
Calculate the result of the following arithmetic expression and provide only the final answer: 27 * 11 =,Calculate the result of the following arithmetic expression and provide only the final answer: 55 * 11 =,297
Calculate the result of the following arithmetic expression and provide only the final answer: 412 / 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 20 / 4 =,103
Calculate the result of the following arithmetic expression and provide only the final answer: 574 / 82 =,Calculate the result of the following arithmetic expression and provide only the final answer: 82 / 82 =,7
Calculate the result of the following arithmetic expression and provide only the final answer: 525 / 105 =,Calculate the result of the following arithmetic expression and provide only the final answer: 105 / 105 =,5
Calculate the result of the following arithmetic expression and provide only the final answer: 154 * 13 =,Calculate the result of the following arithmetic expression and provide only the final answer: 5 * 13 =,2002
Calculate the result of the following arithmetic expression and provide only the final answer: 501 / 167 =,Calculate the result of the following arithmetic expression and provide only the final answer: 167 / 167 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 148 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 87 * 3 =,444
Calculate the result of the following arithmetic expression and provide only the final answer: 35 * 16 =,Calculate the result of the following arithmetic expression and provide only the final answer: 21 * 16 =,560
Calculate the result of the following arithmetic expression and provide only the final answer: 49 * 20 =,Calculate the result of the following arithmetic expression and provide only the final answer: 98 * 20 =,980
Calculate the result of the following arithmetic expression and provide only the final answer: 128 / 16 =,Calculate the result of the following arithmetic expression and provide only the final answer: 16 / 16 =,8
Calculate the result of the following arithmetic expression and provide only the final answer: 336 / 56 =,Calculate the result of the following arithmetic expression and provide only the final answer: 168 / 56 =,6
Calculate the result of the following arithmetic expression and provide only the final answer: 404 / 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 108 / 4 =,101
Calculate the result of the following arithmetic expression and provide only the final answer: 38 * 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 72 * 5 =,190
Calculate the result of the following arithmetic expression and provide only the final answer: 198 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 57 * 2 =,396
Calculate the result of the following arithmetic expression and provide only the final answer: 244 / 122 =,Calculate the result of the following arithmetic expression and provide only the final answer: 122 / 122 =,2
Calculate the result of the following arithmetic expression and provide only the final answer: 402 / 67 =,Calculate the result of the following arithmetic expression and provide only the final answer: 67 / 67 =,6
Calculate the result of the following arithmetic expression and provide only the final answer: 12 * 6 =,Calculate the result of the following arithmetic expression and provide only the final answer: 53 * 6 =,72
Calculate the result of the following arithmetic expression and provide only the final answer: 5 * 23 =,Calculate the result of the following arithmetic expression and provide only the final answer: 12 * 23 =,115
Calculate the result of the following arithmetic expression and provide only the final answer: 1600 / 8 =,Calculate the result of the following arithmetic expression and provide only the final answer: 64 / 8 =,200
Calculate the result of the following arithmetic expression and provide only the final answer: 575 / 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 100 / 5 =,115
Calculate the result of the following arithmetic expression and provide only the final answer: 19 * 34 =,Calculate the result of the following arithmetic expression and provide only the final answer: 13 * 34 =,646
Calculate the result of the following arithmetic expression and provide only the final answer: 136 / 17 =,Calculate the result of the following arithmetic expression and provide only the final answer: 68 / 17 =,8
Calculate the result of the following arithmetic expression and provide only the final answer: 55 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 13 * 4 =,220
Calculate the result of the following arithmetic expression and provide only the final answer: 280 / 56 =,Calculate the result of the following arithmetic expression and provide only the final answer: 168 / 56 =,5
Calculate the result of the following arithmetic expression and provide only the final answer: 81 * 8 =,Calculate the result of the following arithmetic expression and provide only the final answer: 4 * 8 =,648
Calculate the result of the following arithmetic expression and provide only the final answer: 624 / 156 =,Calculate the result of the following arithmetic expression and provide only the final answer: 156 / 156 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 77 * 7 =,Calculate the result of the following arithmetic expression and provide only the final answer: 87 * 7 =,539
Calculate the result of the following arithmetic expression and provide only the final answer: 465 / 155 =,Calculate the result of the following arithmetic expression and provide only the final answer: 155 / 155 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 9 * 32 =,Calculate the result of the following arithmetic expression and provide only the final answer: 61 * 32 =,288
Calculate the result of the following arithmetic expression and provide only the final answer: 667 / 29 =,Calculate the result of the following arithmetic expression and provide only the final answer: 29 / 29 =,23
Calculate the result of the following arithmetic expression and provide only the final answer: 520 / 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 164 / 4 =,130
Calculate the result of the following arithmetic expression and provide only the final answer: 319 / 29 =,Calculate the result of the following arithmetic expression and provide only the final answer: 58 / 29 =,11
Calculate the result of the following arithmetic expression and provide only the final answer: 112 / 8 =,Calculate the result of the following arithmetic expression and provide only the final answer: 120 / 8 =,14
Calculate the result of the following arithmetic expression and provide only the final answer: 4 * 20 =,Calculate the result of the following arithmetic expression and provide only the final answer: 3 * 20 =,80
Calculate the result of the following arithmetic expression and provide only the final answer: 98 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 84 * 4 =,392
Calculate the result of the following arithmetic expression and provide only the final answer: 141 * 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 68 * 5 =,705
Calculate the result of the following arithmetic expression and provide only the final answer: 18 * 25 =,Calculate the result of the following arithmetic expression and provide only the final answer: 11 * 25 =,450
Calculate the result of the following arithmetic expression and provide only the final answer: 235 / 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 195 / 5 =,47
Calculate the result of the following arithmetic expression and provide only the final answer: 232 / 58 =,Calculate the result of the following arithmetic expression and provide only the final answer: 58 / 58 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 48 * 18 =,Calculate the result of the following arithmetic expression and provide only the final answer: 23 * 18 =,864
Calculate the result of the following arithmetic expression and provide only the final answer: 440 / 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 168 / 4 =,110
Calculate the result of the following arithmetic expression and provide only the final answer: 22 * 12 =,Calculate the result of the following arithmetic expression and provide only the final answer: 59 * 12 =,264
Calculate the result of the following arithmetic expression and provide only the final answer: 76 / 19 =,Calculate the result of the following arithmetic expression and provide only the final answer: 57 / 19 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 40 * 40 =,Calculate the result of the following arithmetic expression and provide only the final answer: 2 * 40 =,1600
Calculate the result of the following arithmetic expression and provide only the final answer: 1995 / 105 =,Calculate the result of the following arithmetic expression and provide only the final answer: 105 / 105 =,19
Calculate the result of the following arithmetic expression and provide only the final answer: 1998 / 54 =,Calculate the result of the following arithmetic expression and provide only the final answer: 54 / 54 =,37
Calculate the result of the following arithmetic expression and provide only the final answer: 1920 / 40 =,Calculate the result of the following arithmetic expression and provide only the final answer: 120 / 40 =,48
Calculate the result of the following arithmetic expression and provide only the final answer: 6 / 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 58 / 2 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 12 * 17 =,Calculate the result of the following arithmetic expression and provide only the final answer: 18 * 17 =,204
Calculate the result of the following arithmetic expression and provide only the final answer: 1950 / 130 =,Calculate the result of the following arithmetic expression and provide only the final answer: 130 / 130 =,15
Calculate the result of the following arithmetic expression and provide only the final answer: 51 * 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 22 * 5 =,255
Calculate the result of the following arithmetic expression and provide only the final answer: 404 / 101 =,Calculate the result of the following arithmetic expression and provide only the final answer: 101 / 101 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 91 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 5 * 4 =,364
Calculate the result of the following arithmetic expression and provide only the final answer: 4 * 101 =,Calculate the result of the following arithmetic expression and provide only the final answer: 11 * 101 =,404
Calculate the result of the following arithmetic expression and provide only the final answer: 57 / 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 111 / 3 =,19
Calculate the result of the following arithmetic expression and provide only the final answer: 63 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 2 * 2 =,126
Calculate the result of the following arithmetic expression and provide only the final answer: 25 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 62 * 2 =,50
Calculate the result of the following arithmetic expression and provide only the final answer: 282 / 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 92 / 2 =,141
Calculate the result of the following arithmetic expression and provide only the final answer: 51 / 17 =,Calculate the result of the following arithmetic expression and provide only the final answer: 187 / 17 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 217 / 31 =,Calculate the result of the following arithmetic expression and provide only the final answer: 62 / 31 =,7
Calculate the result of the following arithmetic expression and provide only the final answer: 288 / 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 138 / 2 =,144
Calculate the result of the following arithmetic expression and provide only the final answer: 14 * 21 =,Calculate the result of the following arithmetic expression and provide only the final answer: 3 * 21 =,294
Calculate the result of the following arithmetic expression and provide only the final answer: 53 * 10 =,Calculate the result of the following arithmetic expression and provide only the final answer: 93 * 10 =,530
Calculate the result of the following arithmetic expression and provide only the final answer: 3 * 30 =,Calculate the result of the following arithmetic expression and provide only the final answer: 19 * 30 =,90
Calculate the result of the following arithmetic expression and provide only the final answer: 324 / 162 =,Calculate the result of the following arithmetic expression and provide only the final answer: 162 / 162 =,2
Calculate the result of the following arithmetic expression and provide only the final answer: 170 / 17 =,Calculate the result of the following arithmetic expression and provide only the final answer: 68 / 17 =,10
Calculate the result of the following arithmetic expression and provide only the final answer: 336 / 14 =,Calculate the result of the following arithmetic expression and provide only the final answer: 56 / 14 =,24
Calculate the result of the following arithmetic expression and provide only the final answer: 10000 / 50 =,Calculate the result of the following arithmetic expression and provide only the final answer: 150 / 50 =,200
Calculate the result of the following arithmetic expression and provide only the final answer: 549 / 183 =,Calculate the result of the following arithmetic expression and provide only the final answer: 183 / 183 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 13 * 27 =,Calculate the result of the following arithmetic expression and provide only the final answer: 27 * 27 =,351
Calculate the result of the following arithmetic expression and provide only the final answer: 116 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 78 * 4 =,464
Calculate the result of the following arithmetic expression and provide only the final answer: 42 / 7 =,Calculate the result of the following arithmetic expression and provide only the final answer: 21 / 7 =,6
Calculate the result of the following arithmetic expression and provide only the final answer: 453 / 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 186 / 3 =,151
Calculate the result of the following arithmetic expression and provide only the final answer: 50 * 13 =,Calculate the result of the following arithmetic expression and provide only the final answer: 7 * 13 =,650
Calculate the result of the following arithmetic expression and provide only the final answer: 1955 / 23 =,Calculate the result of the following arithmetic expression and provide only the final answer: 138 / 23 =,85
Calculate the result of the following arithmetic expression and provide only the final answer: 344 / 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 112 / 4 =,86
Calculate the result of the following arithmetic expression and provide only the final answer: 475 / 19 =,Calculate the result of the following arithmetic expression and provide only the final answer: 38 / 19 =,25
Calculate the result of the following arithmetic expression and provide only the final answer: 171 / 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 150 / 3 =,57
Calculate the result of the following arithmetic expression and provide only the final answer: 576 / 192 =,Calculate the result of the following arithmetic expression and provide only the final answer: 192 / 192 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 86 * 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 47 * 5 =,430
Calculate the result of the following arithmetic expression and provide only the final answer: 111 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 62 * 4 =,444
Calculate the result of the following arithmetic expression and provide only the final answer: 355 / 71 =,Calculate the result of the following arithmetic expression and provide only the final answer: 142 / 71 =,5
Calculate the result of the following arithmetic expression and provide only the final answer: 57 * 16 =,Calculate the result of the following arithmetic expression and provide only the final answer: 26 * 16 =,912
Calculate the result of the following arithmetic expression and provide only the final answer: 118 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 30 * 3 =,354
Calculate the result of the following arithmetic expression and provide only the final answer: 56 * 18 =,Calculate the result of the following arithmetic expression and provide only the final answer: 50 * 18 =,1008
Calculate the result of the following arithmetic expression and provide only the final answer: 10 * 22 =,Calculate the result of the following arithmetic expression and provide only the final answer: 2 * 22 =,220
Calculate the result of the following arithmetic expression and provide only the final answer: 320 / 16 =,Calculate the result of the following arithmetic expression and provide only the final answer: 144 / 16 =,20
Calculate the result of the following arithmetic expression and provide only the final answer: 1969 / 11 =,Calculate the result of the following arithmetic expression and provide only the final answer: 44 / 11 =,179
Calculate the result of the following arithmetic expression and provide only the final answer: 612 / 153 =,Calculate the result of the following arithmetic expression and provide only the final answer: 153 / 153 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 270 / 135 =,Calculate the result of the following arithmetic expression and provide only the final answer: 135 / 135 =,2
Calculate the result of the following arithmetic expression and provide only the final answer: 15 * 41 =,Calculate the result of the following arithmetic expression and provide only the final answer: 8 * 41 =,615
Calculate the result of the following arithmetic expression and provide only the final answer: 133 * 15 =,Calculate the result of the following arithmetic expression and provide only the final answer: 51 * 15 =,1995
Calculate the result of the following arithmetic expression and provide only the final answer: 31 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 68 * 4 =,124
Calculate the result of the following arithmetic expression and provide only the final answer: 13 * 9 =,Calculate the result of the following arithmetic expression and provide only the final answer: 94 * 9 =,117
Calculate the result of the following arithmetic expression and provide only the final answer: 54 * 10 =,Calculate the result of the following arithmetic expression and provide only the final answer: 40 * 10 =,540
Calculate the result of the following arithmetic expression and provide only the final answer: 390 / 10 =,Calculate the result of the following arithmetic expression and provide only the final answer: 30 / 10 =,39
Calculate the result of the following arithmetic expression and provide only the final answer: 243 / 81 =,Calculate the result of the following arithmetic expression and provide only the final answer: 81 / 81 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 199 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 91 * 3 =,597
Calculate the result of the following arithmetic expression and provide only the final answer: 484 / 22 =,Calculate the result of the following arithmetic expression and provide only the final answer: 22 / 22 =,22
Calculate the result of the following arithmetic expression and provide only the final answer: 10 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 70 * 3 =,30
Calculate the result of the following arithmetic expression and provide only the final answer: 16 * 51 =,Calculate the result of the following arithmetic expression and provide only the final answer: 12 * 51 =,816
Calculate the result of the following arithmetic expression and provide only the final answer: 81 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 6 * 2 =,162
Calculate the result of the following arithmetic expression and provide only the final answer: 462 / 66 =,Calculate the result of the following arithmetic expression and provide only the final answer: 66 / 66 =,7
Calculate the result of the following arithmetic expression and provide only the final answer: 1080 / 40 =,Calculate the result of the following arithmetic expression and provide only the final answer: 120 / 40 =,27
Calculate the result of the following arithmetic expression and provide only the final answer: 605 / 11 =,Calculate the result of the following arithmetic expression and provide only the final answer: 121 / 11 =,55
Calculate the result of the following arithmetic expression and provide only the final answer: 2 * 18 =,Calculate the result of the following arithmetic expression and provide only the final answer: 37 * 18 =,36
Calculate the result of the following arithmetic expression and provide only the final answer: 136 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 64 * 3 =,408
Calculate the result of the following arithmetic expression and provide only the final answer: 432 / 16 =,Calculate the result of the following arithmetic expression and provide only the final answer: 144 / 16 =,27
Calculate the result of the following arithmetic expression and provide only the final answer: 13 * 11 =,Calculate the result of the following arithmetic expression and provide only the final answer: 75 * 11 =,143
Calculate the result of the following arithmetic expression and provide only the final answer: 144 / 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 26 / 2 =,72
Calculate the result of the following arithmetic expression and provide only the final answer: 1976 / 76 =,Calculate the result of the following arithmetic expression and provide only the final answer: 76 / 76 =,26
Calculate the result of the following arithmetic expression and provide only the final answer: 80 / 40 =,Calculate the result of the following arithmetic expression and provide only the final answer: 120 / 40 =,2
Calculate the result of the following arithmetic expression and provide only the final answer: 5000 / 125 =,Calculate the result of the following arithmetic expression and provide only the final answer: 125 / 125 =,40
Calculate the result of the following arithmetic expression and provide only the final answer: 133 * 3 =,Calculate the result of the following arithmetic expression and provide only the final answer: 81 * 3 =,399
Calculate the result of the following arithmetic expression and provide only the final answer: 112 / 28 =,Calculate the result of the following arithmetic expression and provide only the final answer: 84 / 28 =,4
Calculate the result of the following arithmetic expression and provide only the final answer: 680 / 40 =,Calculate the result of the following arithmetic expression and provide only the final answer: 80 / 40 =,17
Calculate the result of the following arithmetic expression and provide only the final answer: 132 / 22 =,Calculate the result of the following arithmetic expression and provide only the final answer: 66 / 22 =,6
Calculate the result of the following arithmetic expression and provide only the final answer: 187 * 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 12 * 2 =,374
Calculate the result of the following arithmetic expression and provide only the final answer: 240 / 8 =,Calculate the result of the following arithmetic expression and provide only the final answer: 40 / 8 =,30
Calculate the result of the following arithmetic expression and provide only the final answer: 265 / 5 =,Calculate the result of the following arithmetic expression and provide only the final answer: 140 / 5 =,53
Calculate the result of the following arithmetic expression and provide only the final answer: 1980 / 165 =,Calculate the result of the following arithmetic expression and provide only the final answer: 165 / 165 =,12
Calculate the result of the following arithmetic expression and provide only the final answer: 276 / 46 =,Calculate the result of the following arithmetic expression and provide only the final answer: 138 / 46 =,6
Calculate the result of the following arithmetic expression and provide only the final answer: 130 * 15 =,Calculate the result of the following arithmetic expression and provide only the final answer: 30 * 15 =,1950
Calculate the result of the following arithmetic expression and provide only the final answer: 35 * 7 =,Calculate the result of the following arithmetic expression and provide only the final answer: 45 * 7 =,245
Calculate the result of the following arithmetic expression and provide only the final answer: 527 / 31 =,Calculate the result of the following arithmetic expression and provide only the final answer: 93 / 31 =,17
Calculate the result of the following arithmetic expression and provide only the final answer: 145 / 29 =,Calculate the result of the following arithmetic expression and provide only the final answer: 174 / 29 =,5
Calculate the result of the following arithmetic expression and provide only the final answer: 40 / 2 =,Calculate the result of the following arithmetic expression and provide only the final answer: 94 / 2 =,20
Calculate the result of the following arithmetic expression and provide only the final answer: 750 / 30 =,Calculate the result of the following arithmetic expression and provide only the final answer: 60 / 30 =,25
Calculate the result of the following arithmetic expression and provide only the final answer: 318 / 106 =,Calculate the result of the following arithmetic expression and provide only the final answer: 106 / 106 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 416 / 26 =,Calculate the result of the following arithmetic expression and provide only the final answer: 26 / 26 =,16
Calculate the result of the following arithmetic expression and provide only the final answer: 32 * 4 =,Calculate the result of the following arithmetic expression and provide only the final answer: 80 * 4 =,128
Calculate the result of the following arithmetic expression and provide only the final answer: 438 / 6 =,Calculate the result of the following arithmetic expression and provide only the final answer: 36 / 6 =,73
Calculate the result of the following arithmetic expression and provide only the final answer: 441 / 147 =,Calculate the result of the following arithmetic expression and provide only the final answer: 147 / 147 =,3
Calculate the result of the following arithmetic expression and provide only the final answer: 2 * 26 =,Calculate the result of the following arithmetic expression and provide only the final answer: 28 * 26 =,52
Calculate the result of the following arithmetic expression and provide only the final answer: 77 / 7 =,Calculate the result of the following arithmetic expression and provide only the final answer: 147 / 7 =,11
Calculate the result of the following arithmetic expression and provide only the final answer: 92 * 7 =,Calculate the result of the following arithmetic expression and provide only the final answer: 21 * 7 =,644
Calculate the result of the following arithmetic expression and provide only the final answer: 348 / 6 =,Calculate the result of the following arithmetic expression and provide only the final answer: 60 / 6 =,58
Calculate the result of the following arithmetic expression and provide only the final answer: 888 / 24 =,Calculate the result of the following arithmetic expression and provide only the final answer: 168 / 24 =,37
Calculate the result of the following arithmetic expression and provide only the final answer: 432 / 24 =,Calculate the result of the following arithmetic expression and provide only the final answer: 48 / 24 =,18
