clean,corrupted,label
"Calculate the least common multiple (LCM) of two numbers. LCM(252, 84) = 252, LCM(195, 390) =","Calculate the least common multiple (LCM) of two numbers. LCM(252, 84) = 252, LCM(54, 36) =",390
"Calculate the least common multiple (LCM) of two numbers. LCM(9, 18) = 18, LCM(23, 69) =","Calculate the least common multiple (LCM) of two numbers. LCM(9, 18) = 18, LCM(36, 324) =",69
"Calculate the least common multiple (LCM) of two numbers. LCM(9, 41) = 369, LCM(18, 53) =","Calculate the least common multiple (LCM) of two numbers. LCM(9, 41) = 369, LCM(3, 97) =",954
"Calculate the least common multiple (LCM) of two numbers. LCM(246, 82) = 246, LCM(220, 66) =","Calculate the least common multiple (LCM) of two numbers. LCM(246, 82) = 246, LCM(196, 140) =",660
"Calculate the least common multiple (LCM) of two numbers. LCM(133, 114) = 798, LCM(25, 40) =","Calculate the least common multiple (LCM) of two numbers. LCM(133, 114) = 798, LCM(450, 225) =",200
"Calculate the least common multiple (LCM) of two numbers. LCM(14, 28) = 28, LCM(45, 450) =","Calculate the least common multiple (LCM) of two numbers. LCM(14, 28) = 28, LCM(40, 360) =",450
"Calculate the least common multiple (LCM) of two numbers. LCM(11, 17) = 187, LCM(20, 13) =","Calculate the least common multiple (LCM) of two numbers. LCM(11, 17) = 187, LCM(17, 57) =",260
"Calculate the least common multiple (LCM) of two numbers. LCM(47, 235) = 235, LCM(47, 329) =","Calculate the least common multiple (LCM) of two numbers. LCM(47, 235) = 235, LCM(30, 240) =",329
"Calculate the least common multiple (LCM) of two numbers. LCM(19, 26) = 494, LCM(53, 19) =","Calculate the least common multiple (LCM) of two numbers. LCM(19, 26) = 494, LCM(19, 41) =",1007
"Calculate the least common multiple (LCM) of two numbers. LCM(31, 279) = 279, LCM(27, 162) =","Calculate the least common multiple (LCM) of two numbers. LCM(31, 279) = 279, LCM(19, 171) =",162
"Calculate the least common multiple (LCM) of two numbers. LCM(42, 28) = 84, LCM(400, 300) =","Calculate the least common multiple (LCM) of two numbers. LCM(42, 28) = 84, LCM(88, 44) =",1200
"Calculate the least common multiple (LCM) of two numbers. LCM(32, 256) = 256, LCM(25, 200) =","Calculate the least common multiple (LCM) of two numbers. LCM(32, 256) = 256, LCM(32, 64) =",200
"Calculate the least common multiple (LCM) of two numbers. LCM(138, 276) = 276, LCM(20, 40) =","Calculate the least common multiple (LCM) of two numbers. LCM(138, 276) = 276, LCM(32, 96) =",40
"Calculate the least common multiple (LCM) of two numbers. LCM(1, 5) = 5, LCM(27, 81) =","Calculate the least common multiple (LCM) of two numbers. LCM(1, 5) = 5, LCM(9, 45) =",81
"Calculate the least common multiple (LCM) of two numbers. LCM(4, 40) = 40, LCM(20, 160) =","Calculate the least common multiple (LCM) of two numbers. LCM(4, 40) = 40, LCM(29, 261) =",160
"Calculate the least common multiple (LCM) of two numbers. LCM(44, 308) = 308, LCM(14, 84) =","Calculate the least common multiple (LCM) of two numbers. LCM(44, 308) = 308, LCM(34, 272) =",84
"Calculate the least common multiple (LCM) of two numbers. LCM(37, 74) = 74, LCM(35, 350) =","Calculate the least common multiple (LCM) of two numbers. LCM(37, 74) = 74, LCM(34, 170) =",350
"Calculate the least common multiple (LCM) of two numbers. LCM(96, 432) = 864, LCM(344, 172) =","Calculate the least common multiple (LCM) of two numbers. LCM(96, 432) = 864, LCM(100, 20) =",344
"Calculate the least common multiple (LCM) of two numbers. LCM(24, 108) = 216, LCM(126, 98) =","Calculate the least common multiple (LCM) of two numbers. LCM(24, 108) = 216, LCM(51, 153) =",882
"Calculate the least common multiple (LCM) of two numbers. LCM(19, 95) = 95, LCM(26, 156) =","Calculate the least common multiple (LCM) of two numbers. LCM(19, 95) = 95, LCM(48, 480) =",156
"Calculate the least common multiple (LCM) of two numbers. LCM(18, 20) = 180, LCM(154, 44) =","Calculate the least common multiple (LCM) of two numbers. LCM(18, 20) = 180, LCM(110, 55) =",308
"Calculate the least common multiple (LCM) of two numbers. LCM(41, 287) = 287, LCM(4, 28) =","Calculate the least common multiple (LCM) of two numbers. LCM(41, 287) = 287, LCM(23, 138) =",28
"Calculate the least common multiple (LCM) of two numbers. LCM(73, 11) = 803, LCM(15, 28) =","Calculate the least common multiple (LCM) of two numbers. LCM(73, 11) = 803, LCM(32, 11) =",420
"Calculate the least common multiple (LCM) of two numbers. LCM(12, 96) = 96, LCM(45, 315) =","Calculate the least common multiple (LCM) of two numbers. LCM(12, 96) = 96, LCM(27, 270) =",315
"Calculate the least common multiple (LCM) of two numbers. LCM(23, 115) = 115, LCM(34, 238) =","Calculate the least common multiple (LCM) of two numbers. LCM(23, 115) = 115, LCM(38, 114) =",238
"Calculate the least common multiple (LCM) of two numbers. LCM(64, 9) = 576, LCM(99, 10) =","Calculate the least common multiple (LCM) of two numbers. LCM(64, 9) = 576, LCM(5, 56) =",990
"Calculate the least common multiple (LCM) of two numbers. LCM(96, 240) = 480, LCM(333, 111) =","Calculate the least common multiple (LCM) of two numbers. LCM(96, 240) = 480, LCM(144, 126) =",333
"Calculate the least common multiple (LCM) of two numbers. LCM(21, 41) = 861, LCM(30, 1) =","Calculate the least common multiple (LCM) of two numbers. LCM(21, 41) = 861, LCM(1, 91) =",30
"Calculate the least common multiple (LCM) of two numbers. LCM(15, 30) = 30, LCM(11, 33) =","Calculate the least common multiple (LCM) of two numbers. LCM(15, 30) = 30, LCM(39, 312) =",33
"Calculate the least common multiple (LCM) of two numbers. LCM(68, 119) = 476, LCM(186, 93) =","Calculate the least common multiple (LCM) of two numbers. LCM(68, 119) = 476, LCM(261, 58) =",186
"Calculate the least common multiple (LCM) of two numbers. LCM(14, 140) = 140, LCM(42, 84) =","Calculate the least common multiple (LCM) of two numbers. LCM(14, 140) = 140, LCM(23, 92) =",84
"Calculate the least common multiple (LCM) of two numbers. LCM(45, 360) = 360, LCM(48, 336) =","Calculate the least common multiple (LCM) of two numbers. LCM(45, 360) = 360, LCM(5, 50) =",336
"Calculate the least common multiple (LCM) of two numbers. LCM(3, 6) = 6, LCM(10, 30) =","Calculate the least common multiple (LCM) of two numbers. LCM(3, 6) = 6, LCM(16, 112) =",30
"Calculate the least common multiple (LCM) of two numbers. LCM(26, 78) = 78, LCM(27, 270) =","Calculate the least common multiple (LCM) of two numbers. LCM(26, 78) = 78, LCM(11, 77) =",270
"Calculate the least common multiple (LCM) of two numbers. LCM(8, 28) = 56, LCM(63, 49) =","Calculate the least common multiple (LCM) of two numbers. LCM(8, 28) = 56, LCM(24, 16) =",441
"Calculate the least common multiple (LCM) of two numbers. LCM(5, 30) = 30, LCM(15, 150) =","Calculate the least common multiple (LCM) of two numbers. LCM(5, 30) = 30, LCM(18, 90) =",150
"Calculate the least common multiple (LCM) of two numbers. LCM(79, 8) = 632, LCM(45, 2) =","Calculate the least common multiple (LCM) of two numbers. LCM(79, 8) = 632, LCM(91, 6) =",90
"Calculate the least common multiple (LCM) of two numbers. LCM(24, 168) = 168, LCM(34, 272) =","Calculate the least common multiple (LCM) of two numbers. LCM(24, 168) = 168, LCM(1, 4) =",272
"Calculate the least common multiple (LCM) of two numbers. LCM(60, 12) = 60, LCM(260, 52) =","Calculate the least common multiple (LCM) of two numbers. LCM(60, 12) = 60, LCM(210, 168) =",260
"Calculate the least common multiple (LCM) of two numbers. LCM(15, 16) = 240, LCM(36, 55) =","Calculate the least common multiple (LCM) of two numbers. LCM(15, 16) = 240, LCM(2, 63) =",1980
"Calculate the least common multiple (LCM) of two numbers. LCM(23, 184) = 184, LCM(21, 63) =","Calculate the least common multiple (LCM) of two numbers. LCM(23, 184) = 184, LCM(28, 56) =",63
"Calculate the least common multiple (LCM) of two numbers. LCM(4, 55) = 220, LCM(33, 10) =","Calculate the least common multiple (LCM) of two numbers. LCM(4, 55) = 220, LCM(50, 13) =",330
"Calculate the least common multiple (LCM) of two numbers. LCM(2, 14) = 14, LCM(31, 310) =","Calculate the least common multiple (LCM) of two numbers. LCM(2, 14) = 14, LCM(4, 20) =",310
"Calculate the least common multiple (LCM) of two numbers. LCM(13, 69) = 897, LCM(12, 37) =","Calculate the least common multiple (LCM) of two numbers. LCM(13, 69) = 897, LCM(12, 65) =",444
"Calculate the least common multiple (LCM) of two numbers. LCM(150, 400) = 1200, LCM(258, 387) =","Calculate the least common multiple (LCM) of two numbers. LCM(150, 400) = 1200, LCM(392, 245) =",774
"Calculate the least common multiple (LCM) of two numbers. LCM(33, 55) = 165, LCM(310, 93) =","Calculate the least common multiple (LCM) of two numbers. LCM(33, 55) = 165, LCM(28, 56) =",930
"Calculate the least common multiple (LCM) of two numbers. LCM(2, 83) = 166, LCM(5, 21) =","Calculate the least common multiple (LCM) of two numbers. LCM(2, 83) = 166, LCM(38, 53) =",105
"Calculate the least common multiple (LCM) of two numbers. LCM(40, 20) = 40, LCM(75, 150) =","Calculate the least common multiple (LCM) of two numbers. LCM(40, 20) = 40, LCM(144, 64) =",150
"Calculate the least common multiple (LCM) of two numbers. LCM(9, 98) = 882, LCM(19, 15) =","Calculate the least common multiple (LCM) of two numbers. LCM(9, 98) = 882, LCM(81, 11) =",285
"Calculate the least common multiple (LCM) of two numbers. LCM(28, 56) = 56, LCM(13, 65) =","Calculate the least common multiple (LCM) of two numbers. LCM(28, 56) = 56, LCM(34, 170) =",65
"Calculate the least common multiple (LCM) of two numbers. LCM(40, 120) = 120, LCM(35, 245) =","Calculate the least common multiple (LCM) of two numbers. LCM(40, 120) = 120, LCM(43, 387) =",245
"Calculate the least common multiple (LCM) of two numbers. LCM(21, 168) = 168, LCM(43, 387) =","Calculate the least common multiple (LCM) of two numbers. LCM(21, 168) = 168, LCM(30, 300) =",387
"Calculate the least common multiple (LCM) of two numbers. LCM(41, 410) = 410, LCM(4, 12) =","Calculate the least common multiple (LCM) of two numbers. LCM(41, 410) = 410, LCM(40, 400) =",12
"Calculate the least common multiple (LCM) of two numbers. LCM(7, 5) = 35, LCM(33, 17) =","Calculate the least common multiple (LCM) of two numbers. LCM(7, 5) = 35, LCM(11, 19) =",561
"Calculate the least common multiple (LCM) of two numbers. LCM(30, 60) = 60, LCM(480, 384) =","Calculate the least common multiple (LCM) of two numbers. LCM(30, 60) = 60, LCM(279, 217) =",1920
"Calculate the least common multiple (LCM) of two numbers. LCM(13, 64) = 832, LCM(8, 95) =","Calculate the least common multiple (LCM) of two numbers. LCM(13, 64) = 832, LCM(26, 33) =",760
"Calculate the least common multiple (LCM) of two numbers. LCM(165, 66) = 330, LCM(38, 152) =","Calculate the least common multiple (LCM) of two numbers. LCM(165, 66) = 330, LCM(42, 14) =",152
"Calculate the least common multiple (LCM) of two numbers. LCM(36, 360) = 360, LCM(46, 368) =","Calculate the least common multiple (LCM) of two numbers. LCM(36, 360) = 360, LCM(30, 150) =",368
"Calculate the least common multiple (LCM) of two numbers. LCM(16, 144) = 144, LCM(14, 112) =","Calculate the least common multiple (LCM) of two numbers. LCM(16, 144) = 144, LCM(35, 70) =",112
"Calculate the least common multiple (LCM) of two numbers. LCM(4, 36) = 36, LCM(17, 136) =","Calculate the least common multiple (LCM) of two numbers. LCM(4, 36) = 36, LCM(40, 400) =",136
"Calculate the least common multiple (LCM) of two numbers. LCM(10, 80) = 80, LCM(30, 240) =","Calculate the least common multiple (LCM) of two numbers. LCM(10, 80) = 80, LCM(35, 350) =",240
"Calculate the least common multiple (LCM) of two numbers. LCM(60, 120) = 120, LCM(120, 270) =","Calculate the least common multiple (LCM) of two numbers. LCM(60, 120) = 120, LCM(32, 96) =",1080
"Calculate the least common multiple (LCM) of two numbers. LCM(4, 8) = 8, LCM(6, 60) =","Calculate the least common multiple (LCM) of two numbers. LCM(4, 8) = 8, LCM(42, 420) =",60
"Calculate the least common multiple (LCM) of two numbers. LCM(20, 16) = 80, LCM(30, 90) =","Calculate the least common multiple (LCM) of two numbers. LCM(20, 16) = 80, LCM(6, 9) =",90
"Calculate the least common multiple (LCM) of two numbers. LCM(279, 186) = 558, LCM(54, 81) =","Calculate the least common multiple (LCM) of two numbers. LCM(279, 186) = 558, LCM(90, 150) =",162
"Calculate the least common multiple (LCM) of two numbers. LCM(46, 13) = 598, LCM(86, 7) =","Calculate the least common multiple (LCM) of two numbers. LCM(46, 13) = 598, LCM(37, 5) =",602
"Calculate the least common multiple (LCM) of two numbers. LCM(8, 14) = 56, LCM(210, 63) =","Calculate the least common multiple (LCM) of two numbers. LCM(8, 14) = 56, LCM(164, 82) =",630
"Calculate the least common multiple (LCM) of two numbers. LCM(41, 8) = 328, LCM(29, 18) =","Calculate the least common multiple (LCM) of two numbers. LCM(41, 8) = 328, LCM(11, 67) =",522
"Calculate the least common multiple (LCM) of two numbers. LCM(47, 329) = 329, LCM(27, 54) =","Calculate the least common multiple (LCM) of two numbers. LCM(47, 329) = 329, LCM(4, 36) =",54
"Calculate the least common multiple (LCM) of two numbers. LCM(80, 56) = 560, LCM(56, 40) =","Calculate the least common multiple (LCM) of two numbers. LCM(80, 56) = 560, LCM(56, 49) =",280
"Calculate the least common multiple (LCM) of two numbers. LCM(40, 240) = 240, LCM(32, 160) =","Calculate the least common multiple (LCM) of two numbers. LCM(40, 240) = 240, LCM(15, 150) =",160
"Calculate the least common multiple (LCM) of two numbers. LCM(73, 10) = 730, LCM(31, 14) =","Calculate the least common multiple (LCM) of two numbers. LCM(73, 10) = 730, LCM(19, 36) =",434
"Calculate the least common multiple (LCM) of two numbers. LCM(21, 42) = 42, LCM(29, 58) =","Calculate the least common multiple (LCM) of two numbers. LCM(21, 42) = 42, LCM(41, 82) =",58
"Calculate the least common multiple (LCM) of two numbers. LCM(200, 450) = 1800, LCM(84, 108) =","Calculate the least common multiple (LCM) of two numbers. LCM(200, 450) = 1800, LCM(54, 30) =",756
"Calculate the least common multiple (LCM) of two numbers. LCM(19, 133) = 133, LCM(36, 360) =","Calculate the least common multiple (LCM) of two numbers. LCM(19, 133) = 133, LCM(4, 8) =",360
"Calculate the least common multiple (LCM) of two numbers. LCM(3, 26) = 78, LCM(5, 57) =","Calculate the least common multiple (LCM) of two numbers. LCM(3, 26) = 78, LCM(5, 78) =",285
"Calculate the least common multiple (LCM) of two numbers. LCM(28, 280) = 280, LCM(11, 99) =","Calculate the least common multiple (LCM) of two numbers. LCM(28, 280) = 280, LCM(6, 18) =",99
"Calculate the least common multiple (LCM) of two numbers. LCM(99, 66) = 198, LCM(70, 100) =","Calculate the least common multiple (LCM) of two numbers. LCM(99, 66) = 198, LCM(75, 90) =",700
"Calculate the least common multiple (LCM) of two numbers. LCM(35, 70) = 70, LCM(43, 129) =","Calculate the least common multiple (LCM) of two numbers. LCM(35, 70) = 70, LCM(21, 126) =",129
"Calculate the least common multiple (LCM) of two numbers. LCM(22, 198) = 198, LCM(29, 232) =","Calculate the least common multiple (LCM) of two numbers. LCM(22, 198) = 198, LCM(44, 264) =",232
"Calculate the least common multiple (LCM) of two numbers. LCM(21, 63) = 63, LCM(18, 36) =","Calculate the least common multiple (LCM) of two numbers. LCM(21, 63) = 63, LCM(16, 56) =",36
"Calculate the least common multiple (LCM) of two numbers. LCM(18, 162) = 162, LCM(12, 120) =","Calculate the least common multiple (LCM) of two numbers. LCM(18, 162) = 162, LCM(5, 45) =",120
"Calculate the least common multiple (LCM) of two numbers. LCM(3, 6) = 6, LCM(49, 147) =","Calculate the least common multiple (LCM) of two numbers. LCM(3, 6) = 6, LCM(4, 40) =",147
"Calculate the least common multiple (LCM) of two numbers. LCM(5, 99) = 495, LCM(13, 9) =","Calculate the least common multiple (LCM) of two numbers. LCM(5, 99) = 495, LCM(94, 7) =",117
"Calculate the least common multiple (LCM) of two numbers. LCM(27, 81) = 81, LCM(48, 192) =","Calculate the least common multiple (LCM) of two numbers. LCM(27, 81) = 81, LCM(30, 180) =",192
"Calculate the least common multiple (LCM) of two numbers. LCM(132, 198) = 396, LCM(162, 54) =","Calculate the least common multiple (LCM) of two numbers. LCM(132, 198) = 396, LCM(56, 196) =",162
"Calculate the least common multiple (LCM) of two numbers. LCM(7, 28) = 28, LCM(46, 230) =","Calculate the least common multiple (LCM) of two numbers. LCM(7, 28) = 28, LCM(47, 235) =",230
"Calculate the least common multiple (LCM) of two numbers. LCM(46, 414) = 414, LCM(11, 66) =","Calculate the least common multiple (LCM) of two numbers. LCM(46, 414) = 414, LCM(6, 48) =",66
"Calculate the least common multiple (LCM) of two numbers. LCM(44, 132) = 132, LCM(36, 180) =","Calculate the least common multiple (LCM) of two numbers. LCM(44, 132) = 132, LCM(11, 99) =",180
"Calculate the least common multiple (LCM) of two numbers. LCM(44, 440) = 440, LCM(46, 138) =","Calculate the least common multiple (LCM) of two numbers. LCM(44, 440) = 440, LCM(47, 94) =",138
"Calculate the least common multiple (LCM) of two numbers. LCM(4, 8) = 8, LCM(36, 252) =","Calculate the least common multiple (LCM) of two numbers. LCM(4, 8) = 8, LCM(19, 133) =",252
"Calculate the least common multiple (LCM) of two numbers. LCM(34, 85) = 170, LCM(18, 8) =","Calculate the least common multiple (LCM) of two numbers. LCM(34, 85) = 170, LCM(35, 10) =",72
"Calculate the least common multiple (LCM) of two numbers. LCM(40, 400) = 400, LCM(43, 344) =","Calculate the least common multiple (LCM) of two numbers. LCM(40, 400) = 400, LCM(9, 45) =",344
"Calculate the least common multiple (LCM) of two numbers. LCM(56, 112) = 112, LCM(76, 171) =","Calculate the least common multiple (LCM) of two numbers. LCM(56, 112) = 112, LCM(8, 24) =",684
"Calculate the least common multiple (LCM) of two numbers. LCM(232, 116) = 232, LCM(30, 20) =","Calculate the least common multiple (LCM) of two numbers. LCM(232, 116) = 232, LCM(56, 48) =",60
"Calculate the least common multiple (LCM) of two numbers. LCM(304, 228) = 912, LCM(30, 45) =","Calculate the least common multiple (LCM) of two numbers. LCM(304, 228) = 912, LCM(133, 57) =",90
"Calculate the least common multiple (LCM) of two numbers. LCM(5, 35) = 35, LCM(14, 98) =","Calculate the least common multiple (LCM) of two numbers. LCM(5, 35) = 35, LCM(43, 172) =",98
"Calculate the least common multiple (LCM) of two numbers. LCM(11, 8) = 88, LCM(38, 3) =","Calculate the least common multiple (LCM) of two numbers. LCM(11, 8) = 88, LCM(9, 85) =",114
"Calculate the least common multiple (LCM) of two numbers. LCM(38, 133) = 266, LCM(70, 28) =","Calculate the least common multiple (LCM) of two numbers. LCM(38, 133) = 266, LCM(70, 245) =",140
"Calculate the least common multiple (LCM) of two numbers. LCM(27, 243) = 243, LCM(21, 126) =","Calculate the least common multiple (LCM) of two numbers. LCM(27, 243) = 243, LCM(49, 490) =",126
"Calculate the least common multiple (LCM) of two numbers. LCM(20, 60) = 60, LCM(3, 15) =","Calculate the least common multiple (LCM) of two numbers. LCM(20, 60) = 60, LCM(50, 350) =",15
"Calculate the least common multiple (LCM) of two numbers. LCM(10, 3) = 30, LCM(20, 97) =","Calculate the least common multiple (LCM) of two numbers. LCM(10, 3) = 30, LCM(63, 2) =",1940
"Calculate the least common multiple (LCM) of two numbers. LCM(37, 296) = 296, LCM(49, 294) =","Calculate the least common multiple (LCM) of two numbers. LCM(37, 296) = 296, LCM(5, 40) =",294
"Calculate the least common multiple (LCM) of two numbers. LCM(23, 207) = 207, LCM(18, 54) =","Calculate the least common multiple (LCM) of two numbers. LCM(23, 207) = 207, LCM(8, 48) =",54
"Calculate the least common multiple (LCM) of two numbers. LCM(48, 60) = 240, LCM(116, 232) =","Calculate the least common multiple (LCM) of two numbers. LCM(48, 60) = 240, LCM(410, 82) =",232
"Calculate the least common multiple (LCM) of two numbers. LCM(18, 21) = 126, LCM(136, 340) =","Calculate the least common multiple (LCM) of two numbers. LCM(18, 21) = 126, LCM(54, 180) =",680
"Calculate the least common multiple (LCM) of two numbers. LCM(22, 220) = 220, LCM(1, 9) =","Calculate the least common multiple (LCM) of two numbers. LCM(22, 220) = 220, LCM(23, 138) =",9
"Calculate the least common multiple (LCM) of two numbers. LCM(8, 48) = 48, LCM(15, 135) =","Calculate the least common multiple (LCM) of two numbers. LCM(8, 48) = 48, LCM(44, 396) =",135
"Calculate the least common multiple (LCM) of two numbers. LCM(26, 23) = 598, LCM(39, 11) =","Calculate the least common multiple (LCM) of two numbers. LCM(26, 23) = 598, LCM(60, 7) =",429
"Calculate the least common multiple (LCM) of two numbers. LCM(84, 252) = 252, LCM(70, 350) =","Calculate the least common multiple (LCM) of two numbers. LCM(84, 252) = 252, LCM(20, 10) =",350
"Calculate the least common multiple (LCM) of two numbers. LCM(62, 124) = 124, LCM(105, 210) =","Calculate the least common multiple (LCM) of two numbers. LCM(62, 124) = 124, LCM(21, 27) =",210
"Calculate the least common multiple (LCM) of two numbers. LCM(75, 26) = 1950, LCM(20, 29) =","Calculate the least common multiple (LCM) of two numbers. LCM(75, 26) = 1950, LCM(33, 8) =",580
"Calculate the least common multiple (LCM) of two numbers. LCM(47, 376) = 376, LCM(28, 196) =","Calculate the least common multiple (LCM) of two numbers. LCM(47, 376) = 376, LCM(10, 50) =",196
"Calculate the least common multiple (LCM) of two numbers. LCM(135, 360) = 1080, LCM(250, 50) =","Calculate the least common multiple (LCM) of two numbers. LCM(135, 360) = 1080, LCM(4, 6) =",250
"Calculate the least common multiple (LCM) of two numbers. LCM(50, 300) = 300, LCM(14, 126) =","Calculate the least common multiple (LCM) of two numbers. LCM(50, 300) = 300, LCM(16, 32) =",126
"Calculate the least common multiple (LCM) of two numbers. LCM(35, 10) = 70, LCM(280, 84) =","Calculate the least common multiple (LCM) of two numbers. LCM(35, 10) = 70, LCM(93, 217) =",840
"Calculate the least common multiple (LCM) of two numbers. LCM(48, 19) = 912, LCM(14, 37) =","Calculate the least common multiple (LCM) of two numbers. LCM(48, 19) = 912, LCM(24, 23) =",518
"Calculate the least common multiple (LCM) of two numbers. LCM(2, 93) = 186, LCM(5, 16) =","Calculate the least common multiple (LCM) of two numbers. LCM(2, 93) = 186, LCM(1, 89) =",80
"Calculate the least common multiple (LCM) of two numbers. LCM(42, 48) = 336, LCM(190, 76) =","Calculate the least common multiple (LCM) of two numbers. LCM(42, 48) = 336, LCM(156, 260) =",380
"Calculate the least common multiple (LCM) of two numbers. LCM(72, 360) = 360, LCM(40, 50) =","Calculate the least common multiple (LCM) of two numbers. LCM(72, 360) = 360, LCM(70, 105) =",200
"Calculate the least common multiple (LCM) of two numbers. LCM(188, 235) = 940, LCM(133, 95) =","Calculate the least common multiple (LCM) of two numbers. LCM(188, 235) = 940, LCM(240, 48) =",665
"Calculate the least common multiple (LCM) of two numbers. LCM(12, 36) = 36, LCM(11, 22) =","Calculate the least common multiple (LCM) of two numbers. LCM(12, 36) = 36, LCM(13, 26) =",22
"Calculate the least common multiple (LCM) of two numbers. LCM(99, 264) = 792, LCM(10, 50) =","Calculate the least common multiple (LCM) of two numbers. LCM(99, 264) = 792, LCM(240, 80) =",50
"Calculate the least common multiple (LCM) of two numbers. LCM(36, 72) = 72, LCM(4, 40) =","Calculate the least common multiple (LCM) of two numbers. LCM(36, 72) = 72, LCM(43, 172) =",40
"Calculate the least common multiple (LCM) of two numbers. LCM(6, 24) = 24, LCM(35, 280) =","Calculate the least common multiple (LCM) of two numbers. LCM(6, 24) = 24, LCM(27, 108) =",280
"Calculate the least common multiple (LCM) of two numbers. LCM(14, 42) = 42, LCM(33, 165) =","Calculate the least common multiple (LCM) of two numbers. LCM(14, 42) = 42, LCM(45, 315) =",165
"Calculate the least common multiple (LCM) of two numbers. LCM(4, 20) = 20, LCM(15, 105) =","Calculate the least common multiple (LCM) of two numbers. LCM(4, 20) = 20, LCM(39, 312) =",105
"Calculate the least common multiple (LCM) of two numbers. LCM(39, 156) = 156, LCM(8, 24) =","Calculate the least common multiple (LCM) of two numbers. LCM(39, 156) = 156, LCM(15, 30) =",24
"Calculate the least common multiple (LCM) of two numbers. LCM(30, 17) = 510, LCM(10, 19) =","Calculate the least common multiple (LCM) of two numbers. LCM(30, 17) = 510, LCM(20, 49) =",190
"Calculate the least common multiple (LCM) of two numbers. LCM(37, 296) = 296, LCM(7, 56) =","Calculate the least common multiple (LCM) of two numbers. LCM(37, 296) = 296, LCM(28, 252) =",56
"Calculate the least common multiple (LCM) of two numbers. LCM(25, 12) = 300, LCM(31, 20) =","Calculate the least common multiple (LCM) of two numbers. LCM(25, 12) = 300, LCM(17, 31) =",620
"Calculate the least common multiple (LCM) of two numbers. LCM(175, 140) = 700, LCM(65, 26) =","Calculate the least common multiple (LCM) of two numbers. LCM(175, 140) = 700, LCM(78, 117) =",130
"Calculate the least common multiple (LCM) of two numbers. LCM(36, 30) = 180, LCM(33, 55) =","Calculate the least common multiple (LCM) of two numbers. LCM(36, 30) = 180, LCM(36, 16) =",165
"Calculate the least common multiple (LCM) of two numbers. LCM(252, 84) = 252, LCM(36, 96) =","Calculate the least common multiple (LCM) of two numbers. LCM(252, 84) = 252, LCM(154, 44) =",288
"Calculate the least common multiple (LCM) of two numbers. LCM(6, 18) = 18, LCM(154, 110) =","Calculate the least common multiple (LCM) of two numbers. LCM(6, 18) = 18, LCM(102, 306) =",770
